Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,00883       SOCIETE MALGACHE DE,MAGASIN,S,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,15,10,FACTURE 2600019    /25C1551,7/1/2026,2600019,28/2/2026,!,"267620,45",,!,,,
12/1/2026,45,10,FACTURE 2600040    /25C1654,9/1/2026,2600040,28/2/2026,!,"15095477,74",,!,,,
12/1/2026,46,10,FACTURE 2600044    /25C1658,9/1/2026,2600044,28/2/2026,!,"8755164,82",,!,,,
12/1/2026,47,10,FACTURE 2600047    /25C1655,9/1/2026,2600047,28/2/2026,!,"13812291,93",,!,,,
12/1/2026,50,10,FACTURE 2600046    /25C1661,9/1/2026,2600046,28/2/2026,!,"16505702,38",,!,,,
12/1/2026,8600005,86,TRT PTF S2M 310126,12/1/2026,2504096,28/2/2026,!,,"276101947,6",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"54436257,32","276101947,6",!,,221665690,","
Compte :,411000,,00900       FESTIVAL SA,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
9/1/2026,8500021,85,CHQ PTF FESTIVAL,9/1/2026,,8/2/2026,!,,"971837,77",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"971837,77",!,,971837,","
Compte :,411000,,00949       STANDARS LABELS MAD,AGASCAR,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
13/1/2026,8500032,85,CHQ PTF MADAFLEX,13/1/2026,,12/2/2026,!,,5286000,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,5286000,!,,5286000,","
Compte :,411000,,01235       PANAGORA  MADAGASCA,R,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
5/1/2026,5520001,55,VRMNT RECU PANAGORA,5/1/2026,,4/2/2026,!,,"204287,2",!,,,
8/1/2026,16,10,FACTURE 2600015    /25C1238,7/1/2026,2600015,7/1/2026,!,"227261,42",,!,,,
8/1/2026,19,10,AVOIR   2600013    /25C1238,7/1/2026,2600013,7/1/2026,!,,"189384,51",!,,,
12/1/2026,53,10,FACTURE 2600041    /25C1601,9/1/2026,2600041,8/2/2026,!,5690000,,!,,,
13/1/2026,56,10,FACTURE 2600042    /25C1601,9/1/2026,2600042,8/2/2026,!,"371796,82",,!,,,
13/1/2026,57,10,FACTURE 2600045    /25C1601,9/1/2026,2600045,8/2/2026,!,"2149916,12",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"8438974,36","393671,71",!,"8045302,65",,
Compte :,411000,,01317       JOVENA MADAGASCAR,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
6/1/2026,8600001,86,TRT PTF JOVENA 120326,31/12/2025,2504052,31/3/2026,!,,"26335637,66",!,,,
6/1/2026,8600001,86,TRT PTF JOVENA 120326,6/1/2026,2504177,6/4/2026,!,,"2029176,42",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,"28364814,08",!,,28364814,","
Compte :,411000,,01424       LEONG,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
ET468,,,,G R A,N D - L I,V R E,,A U X I L I,A I R E,,le 14/01/26,… 17:03:0,0
TRANSIT,TRANSPOR,T ET,TRRAT,-----,----------,--------,-,--------------,-------,,P,age :   000,4
PERIODE,DE   1/2,6 …,déc.-26,,,,,,,,,,
========,========,====,===============================,========,==========,========,=,==============,=============,=,==============,===========,=
Date,,Cod,e,Date,,Date,!,,,!,,Nø lettrag,e
Comptabl,e PiŠce,Jrn,Libell‚,Facture,R‚f‚rence,Ech‚ance,!,D‚bit,Cr‚dit,!,Solde d‚bite,ur/cr‚diteu,r
========,========,====,===============================,========,==========,========,!,==============,=============,!,==============,===========,=
Compte :,411000,,01424       LEONG,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
8/1/2026,17,10,FACTURE 2600014    /25C1238,7/1/2026,2600014,7/1/2026,!,"454522,82",,!,,,
8/1/2026,18,10,FACTURE 2600020    /25C1487,7/1/2026,2600020,31/1/2026,!,"1283181,2",,!,,,
8/1/2026,20,10,AVOIR   2600012    /25C1238,7/1/2026,2600012,7/1/2026,!,,"378769,02",!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"1737704,02","378769,02",!,1358935,,
Compte :,411000,,01494       STMB,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
8/1/2026,24,10,FACTURE 2600026    /25A0351,8/1/2026,2600026,8/1/2026,!,"227241,5",,!,,,
12/1/2026,39,10,FACTURE 2600063    /25A0351,9/1/2026,2600063,9/1/2026,!,"108831,78",,!,,,
12/1/2026,40,10,FACTURE 2600066    /25A0382,9/1/2026,2600066,10/3/2026,!,"108831,78",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"444905,06",,!,"444905,06",,
Compte :,411000,,01711       MAEXI TRADING,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
6/1/2026,8500002,85,CHQ PTF MAEXI,6/1/2026,,6/1/2026,!,,5280000,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,,5280000,!,,5280000,","
Compte :,411000,,01760       CHOCOLATERIE ROBERT,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
,,,Report au d‚,but  1/2,6 ........,........,!,,,!,,,
7/1/2026,8500004,85,CHQ PTF CHOCOLAT,7/1/2026,,6/2/2026,!,,"11980394,9",!,,,
8/1/2026,12,10,FACTURE 2600022    /25F0167,8/1/2026,2600022,7/2/2026,!,"1230643,81",,!,,,
14/1/2026,75,10,FACTURE 2600031    /25B0302,8/1/2026,2600031,7/2/2026,!,"1675950,94",,!,,,
9/1/2026,8500021,85,CHQ PTF CHOCOLAT,9/1/2026,,8/2/2026,!,,"3168652,96",!,,,
13/1/2026,59,10,FACTURE 2600038    /25C1644,9/1/2026,2600038,8/2/2026,!,"979723,42",,!,,,
14/1/2026,77,10,FACTURE 2600077    /25C1644,13/1/2026,2600077,12/2/2026,!,"18818523,8",,!,,,
,,,Solde … fin,12/26 ..,..........,.......,,"22704841,97","15149047,86",!,"7555794,11",,
Compte :,411000,,01854       VITAFOAM,,,,!,,,!,,,
--------,--------,----,-------------------------------,--------,---,,!,,,!,,,
